# [category_name],[id],[device],[focal_plane],[detector],[geometry],[channel]
cat,id,dev,fp,det,geo,ch

# FE9-1 Anode
"sr92x", 7,  11,9,31,2,44
"sr92x", 8,  11,9,31,2,59
"sr92x", 9,  11,9,31,2,58
"sr92x",10,  11,9,31,2,57
"sr92x",11,  11,9,31,2,56
"sr92x",12,  11,9,31,2,43
"sr92x",13,  11,9,31,2,42
"sr92x",14,  11,9,31,2,41
"sr92x",15,  11,9,31,2,40
"sr92x",16,  11,9,31,2,55
"sr92x",17,  11,9,31,2,54
"sr92x",18,  11,9,31,2,53
"sr92x",19,  11,9,31,2,52
"sr92x",20,  11,9,31,2,39
"sr92x",21,  11,9,31,2,38
"sr92x",22,  11,9,31,2,37
"sr92x",23,  11,9,31,2,36
"sr92x",24,  11,9,31,2,51
"sr92x",25,  11,9,31,2,50
"sr92x",26,  11,9,31,2,49
"sr92x",27,  11,9,31,2,48
"sr92x",28,  11,9,31,2,35
"sr92x",29,  11,9,31,2,34
"sr92x",30,  11,9,31,2,33
"sr92x",31,  11,9,31,2,32
"sr92x",32,  11,9,31,2,95
"sr92x",33,  11,9,31,2,94
"sr92x",34,  11,9,31,2,93
"sr92x",35,  11,9,31,2,92
"sr92x",36,  11,9,31,2,79
"sr92x",37,  11,9,31,2,78
"sr92x",38,  11,9,31,2,77
"sr92x",39,  11,9,31,2,76
"sr92x",40,  11,9,31,2,91
"sr92x",41,  11,9,31,2,90
"sr92x",42,  11,9,31,2,89
"sr92x",43,  11,9,31,2,88
"sr92x",44,  11,9,31,2,75
"sr92x",45,  11,9,31,2,74
"sr92x",46,  11,9,31,2,73
"sr92x",47,  11,9,31,2,72
"sr92x",48,  11,9,31,2,87
"sr92x",49,  11,9,31,2,86
"sr92x",50,  11,9,31,2,85
"sr92x",51,  11,9,31,2,84
"sr92x",52,  11,9,31,2,71
"sr92x",53,  11,9,31,2,70
"sr92x",54,  11,9,31,2,69
"sr92x",55,  11,9,31,2,68
"sr92x",56,  11,9,31,2,83
"sr92x",57,  11,9,31,2,82
"sr92x",58,  11,9,31,2,81
"sr92x",59,  11,9,31,2,80
"sr92x",60,  11,9,31,2,67
"sr92x",61,  11,9,31,2,66
"sr92x",62,  11,9,31,2,65
"sr92x",63,  11,9,31,2,64
"sr92x",64,  11,9,31,2,127
"sr92x",65,  11,9,31,2,126
"sr92x",66,  11,9,31,2,125
"sr92x",67,  11,9,31,2,124
"sr92x",68,  11,9,31,2,111
"sr92x",69,  11,9,31,2,110
"sr92x",70,  11,9,31,2,109
"sr92x",71,  11,9,31,2,108
"sr92x",72,  11,9,31,2,123
"sr92x",73,  11,9,31,2,122
"sr92x",74,  11,9,31,2,121
"sr92x",75,  11,9,31,2,120
"sr92x",76,  11,9,31,2,107
"sr92x",77,  11,9,31,2,106
"sr92x",78,  11,9,31,2,105
"sr92x",79,  11,9,31,2,104
"sr92x",80,  11,9,31,2,119
"sr92x",81,  11,9,31,2,118
"sr92x",82,  11,9,31,2,117
"sr92x",83,  11,9,31,2,116
"sr92x",84,  11,9,31,2,103
"sr92x",85,  11,9,31,2,102
"sr92x",86,  11,9,31,2,101
"sr92x",87,  11,9,31,2,100
"sr92x",88,  11,9,31,2,115
"sr92x",89,  11,9,31,2,114
"sr92x",90,  11,9,31,2,113
"sr92x",91,  11,9,31,2,112
"sr92x",92,  11,9,31,2,99
"sr92x",93,  11,9,31,2,98

# FE9-2 Y
"sr92y", 0,  11,9,31,3,63
"sr92y", 1,  11,9,31,3,62
"sr92y", 2,  11,9,31,3,61
"sr92y", 3,  11,9,31,3,60
"sr92y", 4,  11,9,31,3,47
"sr92y", 5,  11,9,31,3,46
"sr92y", 6,  11,9,31,3,45
"sr92y", 7,  11,9,31,3,44
"sr92y", 8,  11,9,31,3,59
"sr92y", 9,  11,9,31,3,58
"sr92y",10,  11,9,31,3,57
"sr92y",11,  11,9,31,3,56
"sr92y",12,  11,9,31,3,43
"sr92y",13,  11,9,31,3,42
"sr92y",14,  11,9,31,3,41
"sr92y",15,  11,9,31,3,40
"sr92y",16,  11,9,31,3,55
"sr92y",17,  11,9,31,3,54
"sr92y",18,  11,9,31,3,53
"sr92y",19,  11,9,31,3,52
"sr92y",20,  11,9,31,3,39
"sr92y",21,  11,9,31,3,38
"sr92y",22,  11,9,31,3,37
"sr92y",23,  11,9,31,3,36
"sr92y",24,  11,9,31,3,51
"sr92y",25,  11,9,31,3,50
"sr92y",26,  11,9,31,3,49
"sr92y",27,  11,9,31,3,48
"sr92y",28,  11,9,31,3,35
"sr92y",29,  11,9,31,3,34
"sr92y",30,  11,9,31,3,33
"sr92y",31,  11,9,31,3,32
"sr92y",32,  11,9,31,3,95
"sr92y",33,  11,9,31,3,94
"sr92y",34,  11,9,31,3,93
"sr92y",35,  11,9,31,3,92
"sr92y",36,  11,9,31,3,79
"sr92y",37,  11,9,31,3,78
"sr92y",38,  11,9,31,3,77
"sr92y",39,  11,9,31,3,76
"sr92y",40,  11,9,31,3,91
"sr92y",41,  11,9,31,3,90
"sr92y",42,  11,9,31,3,89
"sr92y",43,  11,9,31,3,88
"sr92y",44,  11,9,31,3,75
"sr92y",45,  11,9,31,3,74
"sr92y",46,  11,9,31,3,73
"sr92y",47,  11,9,31,3,72
"sr92y",48,  11,9,31,3,87
"sr92y",49,  11,9,31,3,86
"sr92y",50,  11,9,31,3,85
"sr92y",51,  11,9,31,3,84
"sr92y",52,  11,9,31,3,71
"sr92y",53,  11,9,31,3,70
"sr92y",54,  11,9,31,3,69
"sr92y",55,  11,9,31,3,68
"sr92y",56,  11,9,31,3,83
"sr92y",57,  11,9,31,3,82

# FE12-1 Anode
"src1a", 0,  11,12,31,0,1

# FE12-1 X
"src1x", 0,  11,12,31,0,63
"src1x", 1,  11,12,31,0,62
"src1x", 2,  11,12,31,0,61
"src1x", 3,  11,12,31,0,60
"src1x", 4,  11,12,31,0,47
"src1x", 5,  11,12,31,0,46
"src1x", 6,  11,12,31,0,45
"src1x", 7,  11,12,31,0,44
"src1x", 8,  11,12,31,0,59
"src1x", 9,  11,12,31,0,58
"src1x",10,  11,12,31,0,57
"src1x",11,  11,12,31,0,56
"src1x",12,  11,12,31,0,43
"src1x",13,  11,12,31,0,42
"src1x",14,  11,12,31,0,41
"src1x",15,  11,12,31,0,40
"src1x",16,  11,12,31,0,55
"src1x",17,  11,12,31,0,54
"src1x",18,  11,12,31,0,53
"src1x",19,  11,12,31,0,52
"src1x",20,  11,12,31,0,39
"src1x",21,  11,12,31,0,38
"src1x",22,  11,12,31,0,37
"src1x",23,  11,12,31,0,36
"src1x",24,  11,12,31,0,51
"src1x",25,  11,12,31,0,50
"src1x",26,  11,12,31,0,49
"src1x",27,  11,12,31,0,48
"src1x",28,  11,12,31,0,35
"src1x",29,  11,12,31,0,34
"src1x",30,  11,12,31,0,33
"src1x",31,  11,12,31,0,32
"src1x",32,  11,12,31,0,95
"src1x",33,  11,12,31,0,94
"src1x",34,  11,12,31,0,93
"src1x",35,  11,12,31,0,92
"src1x",36,  11,12,31,0,79
"src1x",37,  11,12,31,0,78
"src1x",38,  11,12,31,0,77
"src1x",39,  11,12,31,0,76
"src1x",40,  11,12,31,0,91
"src1x",41,  11,12,31,0,90
"src1x",42,  11,12,31,0,89
"src1x",43,  11,12,31,0,88
"src1x",44,  11,12,31,0,75
"src1x",45,  11,12,31,0,74
"src1x",46,  11,12,31,0,73
"src1x",47,  11,12,31,0,72
"src1x",48,  11,12,31,0,87
"src1x",49,  11,12,31,0,86
"src1x",50,  11,12,31,0,85
"src1x",51,  11,12,31,0,84
"src1x",52,  11,12,31,0,71
"src1x",53,  11,12,31,0,70
"src1x",54,  11,12,31,0,69
"src1x",55,  11,12,31,0,68
"src1x",56,  11,12,31,0,83
"src1x",57,  11,12,31,0,82
"src1x",58,  11,12,31,0,81
"src1x",59,  11,12,31,0,80
"src1x",60,  11,12,31,0,67
"src1x",61,  11,12,31,0,66
"src1x",62,  11,12,31,0,65
"src1x",63,  11,12,31,0,64
"src1x",64,  11,12,31,0,127
"src1x",65,  11,12,31,0,126
"src1x",66,  11,12,31,0,125
"src1x",67,  11,12,31,0,124
"src1x",68,  11,12,31,0,111
"src1x",69,  11,12,31,0,110
"src1x",70,  11,12,31,0,109
"src1x",71,  11,12,31,0,108
"src1x",72,  11,12,31,0,123
"src1x",73,  11,12,31,0,122
"src1x",74,  11,12,31,0,121
"src1x",75,  11,12,31,0,120
"src1x",76,  11,12,31,0,107
"src1x",77,  11,12,31,0,106
"src1x",78,  11,12,31,0,105
"src1x",79,  11,12,31,0,104
"src1x",80,  11,12,31,0,119
"src1x",81,  11,12,31,0,118
"src1x",82,  11,12,31,0,117
"src1x",83,  11,12,31,0,116
"src1x",84,  11,12,31,0,103
"src1x",85,  11,12,31,0,102
"src1x",86,  11,12,31,0,101
"src1x",87,  11,12,31,0,100
"src1x",88,  11,12,31,0,115
"src1x",89,  11,12,31,0,114
"src1x",90,  11,12,31,0,113
"src1x",91,  11,12,31,0,112
"src1x",92,  11,12,31,0,99
"src1x",93,  11,12,31,0,98

# FE12-1 Y
"src1y", 0,  11,12,31,1,63
"src1y", 1,  11,12,31,1,62
"src1y", 2,  11,12,31,1,61
"src1y", 3,  11,12,31,1,60
"src1y", 4,  11,12,31,1,47
"src1y", 5,  11,12,31,1,46
"src1y", 6,  11,12,31,1,45
"src1y", 7,  11,12,31,1,44
"src1y", 8,  11,12,31,1,59
"src1y", 9,  11,12,31,1,58
"src1y",10,  11,12,31,1,57
"src1y",11,  11,12,31,1,56
"src1y",12,  11,12,31,1,43
"src1y",13,  11,12,31,1,42
"src1y",14,  11,12,31,1,41
"src1y",15,  11,12,31,1,40
"src1y",16,  11,12,31,1,55
"src1y",17,  11,12,31,1,54
"src1y",18,  11,12,31,1,53
"src1y",19,  11,12,31,1,52
"src1y",20,  11,12,31,1,39
"src1y",21,  11,12,31,1,38
"src1y",22,  11,12,31,1,37
"src1y",23,  11,12,31,1,36
"src1y",24,  11,12,31,1,51
"src1y",25,  11,12,31,1,50
"src1y",26,  11,12,31,1,49
"src1y",27,  11,12,31,1,48
"src1y",28,  11,12,31,1,35
"src1y",29,  11,12,31,1,34
"src1y",30,  11,12,31,1,33
"src1y",31,  11,12,31,1,32
"src1y",32,  11,12,31,1,95
"src1y",33,  11,12,31,1,94
"src1y",34,  11,12,31,1,93
"src1y",35,  11,12,31,1,92
"src1y",36,  11,12,31,1,79
"src1y",37,  11,12,31,1,78
"src1y",38,  11,12,31,1,77
"src1y",39,  11,12,31,1,76
"src1y",40,  11,12,31,1,91
"src1y",41,  11,12,31,1,90
"src1y",42,  11,12,31,1,89
"src1y",43,  11,12,31,1,88
"src1y",44,  11,12,31,1,75
"src1y",45,  11,12,31,1,74
